151414,AFC,2014,Motivation for the intention of becoming entrepreneur, - 2014.,"[HREHOVÁ, Daniela (50%) - JENČOVÁ, Anna (50%)]",0,[]
151417,AFC,2014,The factors affecting the intensity of interest in further education of students, - 2014.,"[HREHOVÁ, Daniela (50%) - JENČOVÁ, Anna (50%)]",0,[]
151418,AFC,2014,Podpora manažmentu školy pre úspešnosť vysokoškolského štúdia, - 2014.,"[HREHOVÁ, Daniela (100%)]",1,"['2015  [4] TEPLICKÁ, Katarína Dotazník hodnotenia kvality výučby ako nástroj pre identifikáciu možností zlepšovania In: Vysokoškolská edukácia  pre potreby súčasného kreatívneho podnikateľského  prostredia : zborník recenzovaných vedeckých prác S. 236-248. ISBN: 978-80-553-2221-6']"
152041,AFC,2014,Key attributes of the personality of the entrepreneur in the perception of students of technical specialization, - 2014.,"[HREHOVÁ, Daniela (50%) - JENČOVÁ, Anna (50%)]",0,[]
153951,AFC,2014,Health risks in travel: imported diseases from European countries, - 2014.,"[KOŠČOVÁ, Mária (90%) - TKÁČOVÁ, Renáta (10%)]",0,[]
155484,AFC,2014,The place of alternative education in Slovak educational system, - 2014.,"[ROHÁČOVÁ, Tatiana (50%) - ZAHATŇANSKÁ, Mária (50%)]",0,[]
156106,AFC,2014,"Massive Open Online Courses, Long Tail and English for Specific Purposes", - 2014.,"[KAŠČÁKOVÁ, Eva (100%)]",0,[]
156122,AFC,2014,Interkulturelle Fachsprachenkommunikaion in den Europäischen LLP-Sprachprojekten, - 2014.,"[SORGER, Roman (100%)]",0,[]
156170,AFC,2014,Punctuation within the Cyberspace, - 2014.,"[POLAKOVIČOVÁ, Soňa (100%)]",0,[]
157203,AFC,2014,Teaching Business English to Distance Students, - 2014.,"[CZÉREOVÁ, Beáta (50%) - MAZUROVÁ, Helena (50%)]",0,[]
158674,AFC,2014,Problematika akademickej a profesnej adaptácie študentov technickej univerzity, - 2014.,"[HREHOVÁ, Daniela (100%)]",0,[]
169790,AFC,2014,Examing the Callan Method: its Use in Language Schools, - 2014.,"[HÁJIK, Tomáš (34%) - ANTOLÍKOVÁ, Sandra (33%) - PATKOŠOVÁ, Šárka (33%)]",0,[]
170851,AFC,2014,Vyučovanie psychológie na  ekonomických a technických fakultách  – platforma GEPARD, - 2014.,"[ŽIARAN, Pavel (40%) - HREHOVÁ, Daniela (40%) - MELASOVÁ, Katarína (20%)]",0,[]
158221,AFC,2015,Understatement of communication skills of  manager during crisis in the company, - 2015.,"[HREHOVÁ, Daniela (100%)]",0,[]
158239,AFC,2015,"Personality traits as behavioral predictors in the ethically sensitive situations in management, analysis by means of structural equation modelling", - 2015.,"[HREHOVÁ, Daniela (50%) - ŽIARAN, Pavel (50%)]",0,[]
158241,AFC,2015,Students and their adaptation to study at university, - 2015.,"[HREHOVÁ, Daniela (50%) - SLOSARČÍK, Stanislav (50%)]",1,"['2018  [4] TEPLICKÁ, Katarína, HURNÁ, Soňa, TAUŠOVÁ, Marcela Starostlivosť o študenta ako základný nástroj zvyšovania kvality vzdelávania In: Sociálne a psychologické aspekty globálneho trhu práce S. 228-233 ISBN: 978-80-553-2739-6']"
158564,AFC,2015,Podnecovanie osobnostného potenciálu v mladej dospelosti, - 2015.,"[JENČOVÁ, Anna (50%) - HREHOVÁ, Daniela (50%)]",0,[]
159660,AFC,2015,Kľúč efektívnej internej komunikácie spočíva v záujme a zručnosti jej účastníkov, - 2015.,"[HREHOVÁ, Daniela (50%) - SEŇOVÁ, Andrea (50%)]",0,[]
163309,AFC,2015,Ženy v podnikaní, - 2015.,"[TKÁČOVÁ, Renáta (100%)]",1,"['2016  [4] DIRGOVÁ, Eva Nezamestnanosť ako problém súčasnej spoločnosti z pohľadu sociálnej práce In: Teoreticko-praktické pohľady na problémy súčasnej spoločnosti S. 73-77 ISBN: 978-80-553-2590-3']"
165610,AFC,2015,Education of technical university students with an emphasis on entrepreneurial activities, - 2015.,"[HREHOVÁ, Daniela (50%) - GLUCHMAN, Michal (50%)]",0,[]
166571,AFC,2015,Communication skills as an important success factor in the labour market, - 2015.,"[HREHOVÁ, Daniela (50%) - SEŇOVÁ, Andrea (50%)]",0,[]
166572,AFC,2015,Evaluation of management competencies of university students, - 2015.,"[SEŇOVÁ, Andrea (40%) - HREHOVÁ, Daniela (40%) - IŽARÍKOVÁ, Gabriela (20%)]",0,[]
166574,AFC,2015,Quality human resources are most precious for the company, - 2015.,"[HREHOVÁ, Daniela (50%) - CEHLÁR, Michal (50%)]",1,"['2018  [1] LORINCOVÁ, Silvia - LIŽBETINOVÁ, Lenka - BRODSKÝ, Zdeněk Social networks as a tool for job search In: Scientific papers of the university of Pardubice Vol. 25, no. 42 (2018), p. 140-151 ISSN: 1211-555X']"
167556,AFC,2015,Actual problems of German language teaching at the faculty of manufacturing technologies, - 2015.,"[ROHAĽOVÁ, Tatiana (50%) - ROHÁČOVÁ, Tatiana (50%)]",0,[]
167866,AFC,2015,Corporate Social Responsibility in the Optics of Contemporary Ethical Thinking, - 2015.,"[GLUCHMAN, Michal (80%) - HREHOVÁ, Daniela (20%)]",0,[]
168083,AFC,2015,Acceleration of innovations and entrepreneurship at university environment, - 2015.,"[JAKAB, František (17%) - LAVRIN, Anton (17%) - DURKÁČOVÁ, Michaela (17%) - DOLNÁ, Zlatica (17%) - ALEXANDROVÁ, Gabriela (16%) - TOMAŠKO, Michal (16%)]",0,[]
170424,AFC,2015,EWC – better writers and communicators, - 2015.,"[JARNÁ, Karolína (50%) - SZABOVÁ, Katarína (50%)]",0,[]
170477,AFC,2015,Methodische Grundrisse des EU-Sprachprojekts im Tourismus, - 2015.,"[SORGER, Roman (100%)]",0,[]
170746,AFC,2015,Humility as a new trend in leadership: suggestion of an empirical model, - 2015.,"[ŽIARAN, Pavel (40%) - HREHOVÁ, Daniela (40%) - MELASOVÁ, Katarína (20%)]",0,[]
171425,AFC,2015,Writing skills for non-philological students, - 2015.,"[CZÉREOVÁ, Beáta (50%) - MAZUROVÁ, Helena (50%)]",0,[]
173465,AFC,2015,Stratégie rozvoja kreativity v skupine zdravých a zdravotne postihnutých jedincov, - 2015.,"[RAČKOVÁ, Mariana (50%) - HORENSKÝ, Marián (10%) - TKÁČOVÁ, Renáta (40%)]",1,"['2018  [4] HABODÁS, Miriam - TKÁČOVÁ, Renáta Kvalita života In: Kvalita života a zodpovedné - nerizikové správanie: Zborník vedeckých prác s medzinárodnou účasťou S. 63-72 ISBN: 978-80-553-2976-5']"
173467,AFC,2015,Percepcia subjektívneho zdravia v skupine vysokoškolských študentov, - 2015.,"[RAČKOVÁ, Mariana (50%) - KIMÁKOVÁ, Tatiana (50%)]",0,[]
191184,AFC,2015,Benefits of MOOCs for Teachers and Students of Languages for Specific Purposes, - 2015.,"[KAŠČÁKOVÁ, Eva (100%)]",0,[]
170811,AFC,2016,Kinect: From Entertainment to Scientific Research on Virtual Movement, - 2016.,"[MIHAĽOV, Juraj (99%) - DUFALA, Marek (1%)]",0,[]
170933,AFC,2016,Podnikateľské zručnosti – jasne artikulované potreby na trhu práce, - 2016.,"[HREHOVÁ, Daniela (50%) - JENČOVÁ, Anna (50%)]",0,[]
171497,AFC,2016,Kreativita - inovácie - podnikanie, - 2016.,"[RAČKOVÁ, Mariana (100%)]",0,[]
173922,AFC,2016,New ways of smart electric installation control by human interfaces, - 2016.,"[PETRÁŠ, Jaroslav (34%) - BALOGH, Jozef (33%) - DŽMURA, Jaroslav (33%)]",0,[]
174207,AFC,2016,Training in Organizations in a Competitive Market Environment, - 2016.,"[TKÁČOVÁ, Renáta (50%) - DIRGOVÁ, Eva (50%)]",0,[]
174209,AFC,2016,Teamwork as a Way to Knowledge Sharing, - 2016.,"[TKÁČOVÁ, Renáta (50%) - RAČKOVÁ, Mariana (50%)]",3,"['2017  [3] ROHÁČOVÁ, Tatiana Vklad kafedry obščestvennych nauk Košickovo techničeskovo univerziteta v podgotovku studentečskoj molodeži k globaľnomu rynku truda In: Naukovij visnik Vol. 16, no. 3 (2017), p. 103-112 ISBN: 978-966-629-820-4', '2017  [3] ROHÁČOVÁ, Tatiana Adaptacija ukrajinskich studentov k uslovijam obučenija v slovackich vuzach: teoretičeskij analiz In: Vpliv metodičnich sistem na jakisť navčanija studentskoj molodi : Materiali Mižbuzivskovo kruglovo stolu : Vinnicja, 28-31 bereznja 2017 roku P. 17-19 ISBN: 978-966-625-761-0', '2017  [4] ROHÁČOVÁ, Tatiana - KYRYCHUK, Anzhela The analysis of the role of higher schools while preparing young specialists to the global labor market competition In: Scientific Letters of Academic Society of Michal Baludansky Roč. 5, č. 6A (2017), s. 65-69 ISSN: 1338-9432']"
174320,AFC,2016,Ďalšie vzdelávanie a cviční učitelia, - 2016.,"[BENKOVÁ, Mária (100%)]",0,[]
174498,AFC,2016,Moral competencies - critical factors to entrepreneurial success, - 2016.,"[HREHOVÁ, Daniela (50%) - ILEČKO, Tomáš (50%)]",0,[]
174612,AFC,2016,Harmonization of skills and needs of the global labour market, - 2016.,"[HREHOVÁ, Daniela (50%) - TEPLICKÁ, Katarína (50%)]",0,[]
174619,AFC,2016,Development and support of entrepreneurial competencies for career growth, - 2016.,"[HREHOVÁ, Daniela (50%) - ILEČKO, Tomáš (50%)]",0,[]
175209,AFC,2016,Definícia ako determinujúci faktor efektívnej odbornej komunikácie vedecko-technických (strojárskych) textov, - 2016.,"[TIMÁROVÁ, Daniela (100%)]",0,[]
175386,AFC,2016,Borrowing of english financial terminology, - 2016.,"[KOŽARÍKOVÁ, Henrieta (100%)]",0,[]
175426,AFC,2016,The role of intercultural communication in teaching business english, - 2016.,"[CZÉREOVÁ, Beáta (50%) - MAZUROVÁ, Helena (50%)]",0,[]
175658,AFC,2016,Personal mobile meter for development of human body skeletal model, - 2016.,"[KAINZ, Ondrej (19%) - CYMBALÁK, Dávid (1%) - JAKAB, František (40%) - MICHALKO, Miroslav (40%)]",0,[]
176004,AFC,2016,On the Extraction of Anthropometric Parameters by Visual and Non-visual Means, - 2016.,"[KAINZ, Ondrej (19%) - FORGÁČ, Ján (1%) - MICHALKO, Miroslav (40%) - JAKAB, František (40%)]",0,[]
177529,AFC,2016,Globale Kompetenzen im Sprachunterricht, - 2016.,"[SORGER, Roman (100%)]",0,[]
178008,AFC,2016,Active role of students in the English learning process, - 2016.,"[CZÉREOVÁ, Beáta (50%) - MAZUROVÁ, Helena (50%)]",0,[]
178230,AFC,2016,Produktivnyje sposoby formirovanija kommunikativnoj kompetencii studentov-nefilologov na urokach RKI, - 2016.,"[ALIEVA, Lenka (100%)]",0,[]
178613,AFC,2016,Skúsenosti s podporou študentov so špecifickými potrebami na Technickej univerzite v Košiciach, - 2016.,"[ŠIMŠÍK, Dušan (40%) - GALAJDOVÁ, Alena (40%) - MOLNÁROVÁ, Monika (10%) - ZEISBERG, Peter (10%)]",0,[]
178927,AFC,2016,Support of the entrepreneurial potential of young people as a strategy in universities, - 2016.,"[HREHOVÁ, Daniela (50%) - ILEČKO, Tomáš (50%)]",0,[]
191183,AFC,2016,Key issues in ESP course design, - 2016.,"[KAŠČÁKOVÁ, Eva (100%)]",0,[]
180885,AFC,2017,Balancing the Needs in Tertiary ESP Courses, - 2017.,"[KAŠČÁKOVÁ, Eva (100%)]",0,[]
184809,AFC,2017,Mechanical activation of slag and its influence on mechanical properties of geopolymers, - 2017.,"[MARCIN, Michal (20%) - ŠÁNDOROVÁ, Klaudia (20%) - MAŤAŠOVSKÝ, Michal (20%) - ĽOCH, Branislav (20%) - RÓTH, Barbora (20%)]",0,[]
185076,AFC,2017,Meaning of energy management in area of energy costs decreasing, - 2017.,"[POTKÁNY, Marek (20%) - TEPLICKÁ, Katarína (30%) - SEŇOVÁ, Andrea (20%) - HREHOVÁ, Daniela (20%) - MUDARRI, Tawfik (10%)]",0,[]
185325,AFC,2017,Entrepreneurship education for the global market, - 2017.,"[HREHOVÁ, Daniela (50%) - ČULKOVÁ, Katarína (25%) - JANOŠKOVÁ, Mária Ria (25%)]",0,[]
185326,AFC,2017,Global ethical leader, - 2017.,"[HREHOVÁ, Daniela (50%) - ČULKOVÁ, Katarína (25%) - JANOŠKOVÁ, Mária Ria (25%)]",1,"['2018  [4] MIČKO, Ján Fenomén práce na trhu práce - filozofická reflexia In: Sociálne a psychologické aspekty globálneho trhu práce S. 127-130 ISBN: 978-80-553-2739-6']"
185327,AFC,2017,Future leader in business, - 2017.,"[HREHOVÁ, Daniela (50%) - BEDNÁR, Marián (25%) - KLIMKOVÁ, Andrea (25%)]",0,[]
185329,AFC,2017,Factors stimulating entrepreneurship in the global market, - 2017.,"[HREHOVÁ, Daniela (50%) - BRUTOVSKÁ, Gizela (50%)]",1,"['2018  [4] TEPLICKÁ, Katarína, NAGYOVÁ, Anna, MARHULÍK, Štefan Rozvoj sociálnych spôsobilosti ako výzva globálneho trhu In: Sociálne a psychologické aspekty globálneho trhu práce S. 234-241 ISBN: 978-80-553-2739-6']"
185330,AFC,2017,Business etiquette as a decisive criterion for entreprentership in the global labor market, - 2017.,"[HREHOVÁ, Daniela (50%) - BEDNÁR, Marián (50%)]",0,[]
185508,AFC,2017,Use of information and communication technologies in business and households in context of the digital economy, - 2017.,"[TKÁČOVÁ, Renáta (50%) - STEINGARTNER, William (50%)]",2,"['2018  [4] ROHÁČOVÁ, Tatiana - KYRYCHUK, Anzhela Kvalita pracovného života  ako významná súčasť kvality života In: Kvalita života a zodpovedné - nerizikové správanie: Zborník vedeckých prác s medzinárodnou účasťou S. 56-67 ISBN: 978-80-553-2976-5', '2018  [4] JAKÚBEK, Peter Otroctvo v nvodobom svete v historickom náčrte In: Kvalita života a zodpovedné - nerizikové správanie: Zborník vedeckých prác s medzinárodnou účasťou S. 19-22 ISBN: 978-80-553-2976-5']"
188048,AFC,2017,The arduino platform connected to education process, - 2017.,"[HURTUK, Ján (34%) - ÁDÁM, Norbert (33%) - CHOVANEC, Martin (33%)]",2,"[""2018  [1] AWAWDEH, M. et al. Improving electronics engineering students' skills by projects' college competition In: ASET 2018 : Advances in Science and Engineering Technology International Conferences : Dubai, February 6- April 5, 2018 P. 1-5 ISBN: 978-153862399-2"", '2019  [1] TAKACS, Gergely et al. HeatShield: A low-cost didactic device for control education simulating 3d printer heater blocks In: Proceedings of 2019 IEEE Global Engineering Education Conference :  EDUCON 2019 : 10th IEEE Global Engineering Education Conference : Dubai, 9-11 April, 2019 P. 374-383 ISSN: 2165-9567 ISBN: 978-1-5386-9506-7']"
188232,AFC,2017,Vysokoškolská pedagogika na Technickej univerzite v Košiciach, - 2017.,"[BENKOVÁ, Mária (100%)]",0,[]
188727,AFC,2017,Multicultural education in Great Britain, - 2017.,"[DESIATNIKOVÁ, Lýdia (100%)]",0,[]
189029,AFC,2017,Green chromatisms in specialized terminology and their translatological solutions, - 2017.,"[HÁJIK, Tomáš (50%) - VRÁŽELOVÁ, Viktória (50%)]",0,[]
189090,AFC,2017,Präsenzunterricht – Bestandteil des Blended-Learning-Deutschkurses Falinar, - 2017.,"[SORGER, Roman (100%)]",0,[]
189139,AFC,2017,Formirovanije kommunikativnoj kompetenciji studentov-nefilologov na urokach delovogo RKI, - 2017.,"[ALIEVA, Lenka (100%)]",0,[]
189155,AFC,2017,Communicative Competence as the Outcome of Teaching ESP, - 2017.,"[CZÉREOVÁ, Beáta (50%) - MAZUROVÁ, Helena (50%)]",0,[]
189231,AFC,2017,New trends and working methods in modern terminology, - 2017.,"[KOŽARÍKOVÁ, Henrieta (100%)]",0,[]
189249,AFC,2017,Flipped Classroom in Teaching Business English at University, - 2017.,"[KOŽARÍKOVÁ, Henrieta (100%)]",0,[]
189256,AFC,2017,Information and Communication Technologies  (ICT) in English for Specific Purposes (ESP), - 2017.,"[JARNÁ, Karolína (50%) - SZABOVÁ, Katarína (50%)]",0,[]
189260,AFC,2017,"E-learning at the Department of  Languages, TUKE", - 2017.,"[JARNÁ, Karolína (50%) - SZABOVÁ, Katarína (50%)]",0,[]
190284,AFC,2017,Assessment as an integral part of teaching business english, - 2017.,"[CZÉREOVÁ, Beáta (50%) - MAZUROVÁ, Helena (50%)]",0,[]
190473,AFC,2017,Message board posts on BBC online with relation to sport, - 2017.,"[POLAKOVIČOVÁ, Soňa (100%)]",0,[]
190900,AFC,2017,Preparation of ESP Materials – Challenges in Efficient Language Teaching, - 2017.,"[LEŠKOVÁ, Oľga (100%)]",0,[]
191160,AFC,2017,EduScrum, - 2017.,"[VARADYOVÁ, Tatiana (100%)]",0,[]
191186,AFC,2017,Building blocks and stumbling blocks of blended learning language courses for academic staff, - 2017.,"[KAŠČÁKOVÁ, Eva (100%)]",0,[]
201388,AFC,2017,Impact of water quality on water based activities in hornád river basin, - 2017.,"[ĽOCH, Branislav (20%) - PUŠKÁROVÁ, Petra (20%) - RÓTH, Barbora (20%) - MARCIN, Michal (20%) - ŠÁNDOROVÁ, Klaudia (20%)]",0,[]
197140,AFC,2018,Finančná gramotnosť v príprave budúcich učiteľov profesijných predmetov, - 2018.,"[PETRÍKOVÁ, Daniela (100%)]",0,[]
197162,AFC,2018,Študenti so špecifickými potrebami na Technickej univerzite v Košiciach, - 2018.,"[BENKOVÁ, Mária (100%)]",0,[]
197573,AFC,2018,"Praxisfälle: Ziel, Nachweis, Bewertung, Akzeptanz", - 2018.,"[SINAY, Juraj (100%)]",0,[]
199522,AFC,2018,Differences in a dark personality traits among students of technical and humanistic studies, - 2018.,"[ČOPKOVÁ, Radka (100%)]",0,[]
199764,AFC,2018,Types of English Financial Terms Borrowed to Slovak Context, - 2018.,"[KOŽARÍKOVÁ, Henrieta (100%)]",0,[]
200304,AFC,2018,Developing Reading Skills for University Students, - 2018.,"[CZÉREOVÁ, Beáta (50%) - MAZUROVÁ, Helena (50%)]",0,[]
200579,AFC,2018,Research on Language Learning Strategy Training in EFL and its Application to ESP, - 2018.,"[MICHALEKOVÁ, Lucia (100%)]",0,[]
200771,AFC,2018,Prijemy pobyšenija motivacii i aktivnosti studentov-nefilologov na zanjatija RKI, - 2018.,"[ALIEVA, Lenka (100%)]",0,[]
201310,AFC,2018,"Úspech, špeciálne v globálnom podnikaní, je výsledkom kombinácie zručností a podmienok", - 2018.,"[HREHOVÁ, Daniela (50%) - BRUTOVSKÁ, Gizela (50%)]",0,[]
201316,AFC,2018,Business ethics as part of study programs at technical universities, - 2018.,"[HREHOVÁ, Daniela (50%) - MIČKO, Ján (25%) - ZIARAN, Pavel (25%)]",0,[]
201644,AFC,2018,Teaching to the Test vs. Teaching for Life – a Need for Backward Planning in ESP Course Design, - 2018.,"[KAŠČÁKOVÁ, Eva (100%)]",0,[]
202356,AFC,2018,EduScrum v stredoškolskej výučbe, - 2018.,"[VARADYOVÁ, Tatiana (100%)]",0,[]
203300,AFC,2018,Podnikateľská stratégia v leteckom podniku, - 2018.,"[MALAČINOVÁ, Kristína (20%) - SOCHA, Luboš (20%) - SOCHA, Vladimír (20%) - PRIGANC, Filip (20%) - PILÁT, Marek (20%)]",0,[]
203488,AFC,2018,Development of soft skills in ESP classes, - 2018.,"[LEŠKOVÁ, Oľga (100%)]",0,[]
203590,AFC,2018,Intertextuality within British Journals, - 2018.,"[POLAKOVIČOVÁ, Soňa (50%) - TKÁČOVÁ, Renáta (50%)]",0,[]
205064,AFC,2018,ESP at the department of languages, - 2018.,"[JARNÁ, Karolína (50%) - SZABOVÁ, Katarína (50%)]",0,[]
206414,AFC,2019,Utilization of Complex Techniques for the Extraction of Human Body Parameters from Uncalibrated Image, - 2019.,"[KAINZ, Ondrej (10%) - HUDÁČEK, Jozef (1%) - MICHALKO, Miroslav (42%) - CYMBALÁK, Dávid (1%) - JAKAB, František (42%) - PETIJA, Rastislav (4%)]",0,[]
BPČ/4553,AFD,1976,Súčasný stav a vývojové tendencie zabezpečovacích zariadení žeriavov, - 1976.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4587,AFD,1978,Analýza priebehov ťahových síl v lanovom systéme vežového žeriava s ohľadom na komštrukciu obmedzovačov nosnosti, - 1978.,"[SINAY, Juraj (50%) - BUGÁR, Tibor (50%)]",0,[]
BPČ/4554,AFD,1980,Použitie elektronickej a mikroprocesorovej techniky pri konštrukcii obmedzovačov nosnosti, - 1980.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4555,AFD,1980,Dynamický model - prostriedok na určenie charakteru zaťaženia žeriavov, - 1980.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4556,AFD,1980,Kritéria pre voľbu a projektovanie obmedzovačov nosnosti u zariadení pre medzioperačnú dopravu a skladovanie, - 1980.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4557,AFD,1981,Vypínací proces ako kritérium pre celkové zaťaženie zdvíhacích strojov, - 1981.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4558,AFD,1982,Tuhosť závesu bremena na žeriave s kyvným výložníkom, - 1982.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4650,AFD,1982,Niektoré výsledky pri prototypovej prevádzke EP-06 na žeriave MV 2043, - 1982.,"[SINAY, Juraj (50%) - BUGÁR, Tibor (50%)]",0,[]
BPČ/4597,AFD,1983,Identifikácia silového signálu počas prevádzky zdvíhacích strojov, - 1983.,"[SINAY, Juraj (50%) - BUGÁR, Tibor (50%)]",0,[]
BPČ/4598,AFD,1983,Zaťažovacie kolektívy mostových žeriavov ako prostriedok pre ich optimálny návrh," - Žilina : VŠDS, - 1983. - s.11.","[BIGOŠ, Peter - SINAY, Juraj]",0,[]
BPČ/4599,AFD,1983,Spoľahlivosť a životnosť žeriavov ako podmieňujúci faktor ich optimálneho návrhu, - 1983.,"[SINAY, Juraj (50%) - BIGOŠ, Peter (50%)]",0,[]
BPČ/4559,AFD,1984,Humanizácia pracovného prostredia obsluhy mostového žeriava, - 1984.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4653,AFD,1984,Elektronické váhy a obmedzovač nosnostipr mostové žeriavy, - 1984.,"[SINAY, Juraj (40%) - BUGÁR, Tibor (30%) - ŠIMČÁK, P. (30%)]",0,[]
BPČ/4602,AFD,1985,Analýza silového signálu a jeho využitie pre diagnostiku technického stavu zdvihového mechanizmu, - 1985.,"[SINAY, Juraj (50%) - ORAVEC, Milan (50%)]",0,[]
BPČ/4604,AFD,1985,Príspevok k analýze mechanického systému mostový žeriav kabina žeriavnika, - 1985.,"[SINAY, Juraj (50%) - BUGÁR, Tibor (25%) - SINAYOVÁ, A. (25%)]",0,[]
BPČ/4560,AFD,1986,Teoretické predpoklady prevádzky automatizovaných žeriavov, - 1986.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4605,AFD,1986,Vplyv rázového kmitania na únavovú pevnosť OK žeriavov, - 1986.,"[SINAY, Juraj (50%) - BIGOŠ, Peter (25%) - BUGÁR, Tibor (25%)]",0,[]
BPČ/4660,AFD,1986,Pokus o systematické posúdenie technického stavu zdvíhacích strojov, - 1986.,"[SINAY, Juraj (25%) - BIGOŠ, Peter (25%) - BUGÁR, Tibor (25%) - SINAYOVÁ, A. (25%)]",0,[]
BPČ/4562,AFD,1987,Teoretické predpoklady nových konštrukcií zdvíhacích strojov," - Košice : DT ČSVTS, - 1987.","[SINAY, Juraj (100%)]",0,[]
BPČ/4563,AFD,1987,Strategie der Sicherheit als Bestandteil der Konzeption der neuen Generation der Fördermaschinen und Systeme, - 1987.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4608,AFD,1987,Optimalization of the mechanical linkage bridge cranecabine, - 1987.,"[SINAY, Juraj (50%) - BUGÁR, Tibor (50%)]",0,[]
BPČ/412,AFD,1989,Spracovanie signálov zo silovomomentového snímača, - 1989.,"[ZOLOTOVÁ, Iveta - GALKO, Juraj - HLOŽKA, Miroslav]",1,[]
BPČ/4566,AFD,1989,Typológia rizikových faktorov pri prevádzke zdvíhacích strojov, - 1989.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4613,AFD,1989,Application of technical diagnostics methods on heavy bridge cranes, - 1989.,"[SINAY, Juraj (50%) - BIGOŠ, Peter (25%) - SINAYOVÁ, A. (25%)]",0,[]
BPČ/4614,AFD,1989,The calculation of the lifting machines lattice structures on their dynamic strength and the service life, - 1989. - s.78-84.,"[SINAY, Juraj (34%) - BUGÁR, Tibor (33%) - BIGOŠ, Peter (33%)]",0,[]
BPČ/4568,AFD,1990,Systematizácia rizikových faktorov pre prevádzke zdvíhacích strojov, - 1990.,"[SINAY, Juraj (100%)]",0,[]
BPČ/3303,AFD,1991,Bezpečnosť zdvíhacích strojov z pohľadu európskych noriem, - 1991.,"[SINAY, Juraj (100%)]",0,[]
BPČ/5444,AFD,1991,Koncepcia distribuovaného riadiaceho systému výrobných procesov z pohľadu ich spoľahlivosti, - 1991.,"[LAVRIN, Anton - ZÁBAVNÍK, Viktor - ŠTEFÁNIK, O.]",0,[]
BPČ/5445,AFD,1991,Sledovanie a anlýza stavu technologického procesu v ASR, - 1991.,"[LAVRIN, Anton - ZÁBAVNÍK, Viktor - HULÍK, Gustáv]",0,[]
BPČ/3333,AFD,1992,Katalóg rizikových faktorov zdvíhacích strojov, - 1992.,"[SINAY, Juraj (50%) - JURIS, Miroslav (50%)]",0,[]
BPČ/4579,AFD,1992,Komplexné dopravné systémy z pohľadu požiadaviek na človeka, - 1992.,"[SINAY, Juraj (100%)]",0,[]
BPČ/6265,AFD,1992,Hlavné smery rozvoja riadenia výrobných a technologických procesov, - 1992.,"[KOŠTIAL, Imrich - MALINDŽÁK, Dušan - LAVRIN, Anton]",0,[]
BPČ/4580,AFD,1993,Sicherheit von komplexen Transportsystemen, - 1993.,"[SINAY, Juraj (100%)]",0,[]
BPČ/4668,AFD,1993,Entwicklungspotentiale und Stand der Reform von Wissenschft und Forschung an den Hochschulen in der SR, - 1993.,"[SINAY, Juraj (100%)]",0,[]
BPČ/5542,AFD,1993,Computer aided information systems design, - 1993.,"[LAVRIN, Anton - SMEREKOVÁ, Silvia]",0,[]
BPČ/5624,AFD,1993,Multiparametric and multicriterial extremal optimization of parameters and deviations of real pascals scroll, - 1993.,"[MOLNÁR, Vieroslav - HUĽO, P. - LAVRIN, Anton - JURČO, Martin]",0,[]
BPČ/7336,AFD,1993,Účinok filtrácie na vlastnosti liatiny s guľôčkovým grafitom, - 1993. - ISBN 80-7100-169-4.,"[GEDEONOVÁ, Zora (70%) - KREHEĽ, Ondrej (30%)]",0,[]
0016148,AFD,1995,Experiences in designing and administering a placement test, - 1995.,"[KNUTOVÁ, Gabriela - NEMČOKOVÁ, Viera]",0,[]
BPČ/8301,AFD,1995,Two innovation projects in education program of the Technical University of Košice, - 1995.,"[LAVRIN, Anton - ORBÁNOVÁ, Iveta]",0,[]
BPČ/8303,AFD,1995,Zlepšenie toku informácií o životnom prostredí v oblasti Košíc ako nástroj posilnenia environmentálneho vedomia verejnosti, - 1995.,"[LAVRIN, Anton]",0,[]
0011327,AFD,1996,The perspectives and the position of lifelong education in the information society, - 1996.,"[LAVRIN, Anton - SAMUELIS, Ladislav]",0,[]
0016159,AFD,1996,Testing techniques in the placement tests at TU, - 1996.,"[KNUTOVÁ, Gabriela]",0,[]
17740,AFD,1996,Postoje učiteľov k jazykovej výučbe v procesoch celoživotného vzdelávania, - 1996.,"[PAVLOVOVÁ, Janka]",0,[]
81726,AFD,1996,O desenvolvimento da República Eslovaca no ano da tolerancia (o resumo), - 1996.,"[KISOVÁ, Marcela (50%) - MIHÁĽOVÁ, Katarína (50%)]",0,[]
84062,AFD,1997,Počítačová podpora merania a vyhodnocovania rezných síl pri sústružení, - 1997.,"[MAŇKOVÁ, Ildikó (50%) - SALANCI, Slavomír (50%)]",1,"['2007  [4] IŽOL, P.: Predikcia napaťových pomerov v reznom kline pri zapichovacom sústružení. In: Transfer inovácii : 7/2004 [online]. Košice : SjF TU, 2007. S. 91-94. ISBN 80-8073-222-1.']"
